No.Item	Txs SAP	Mov	C—digo Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
124659	ZSCR	551	035-1	0	A2C3471080093	NA	A2C40001242	1	1351	"C CER,X7R,100nF,10%,100V,1206,Sn ++ Open"		ROH	NA	0.26	4956269378
124659	ZSCR	551	035-1	0	A2C3471080093	NA	A2C40001250	1	1351	"F BEAD/FILTER, PASSIVE,600mOhm,2KOhm,200"		ROH	NA	0.08	4956269406
124659	ZSCR	551	035-1	0	A2C3471080093	NA	A2C40001442	1	1351	"D REC/DSC,70V,200mA,SOT323,0s"		ROH	NA	0.09	4956269406
124659	ZSCR	551	035-1	0	A2C3471080093	NA	A2C40001444	1	1351	"C CER,X7R,22nF,10%,100V,0805,Sn++ Open M"		ROH	NA	0.03	4956269406
124659	ZSCR	551	035-1	0	A2C3471080093	NA	A2C40001484	1	1351	"EM OTH POLY FUSE/-TBD-,16V,800mA"		ROH	NA	1.86	4956269406
124659	ZSCR	551	035-1	0	A2C3471080093	NA	A2C40002593	1	1351	"Q QUARTZ/AT-51CD2 (Safety) 8 MHz,8MHz,1"		ROH	NA	4.37	4956269406
124659	ZSCR	551	035-1	0	A2C3471080093	NA	A2C40002657	1	1351	"D SUP/MMBZ27VDA (3k reel),SOT23-MOTOROLA"		ROH	NA	0.23	4956269406
124659	ZSCR	551	035-1	0	A2C3417220093	NA	A2C40002740	1	1351	"R NET,47K,5%,63mW,RM_YC16-4"		ROH	NA	0.04	4956269347
124659	ZSCR	551	035-1	0	A2C3417220093	NA	A2C40003922	1	1351	"R LIN,47K,5%,TK200,100mW,0603"		ROH	NA	0.01	4956269347
124659	ZSCR	551	035-1	0	A2C3471080093	NA	A2C40004066	1	1351	"R LIN,220K,1%,TK100,100mW,0603"		ROH	NA	0.01	4956269406
124659	ZSCR	551	035-1	0	A2C3417220093	NA	A2C40004183	1	1351	"R LIN,100R,5%,TK200,100mW,0603"		ROH	NA	0.01	4956269347
124659	ZSCR	551	035-1	0	A2C3471080093	NA	A2C40005473	1	1351	"R NET,26K7,1%,0W,1206"		ROH	NA	0.06	4956269406
124659	ZSCR	551	035-1	0	A2C3471080093	NA	A2C40005594	1	1351	"C ELEC,TA,10uF,10%,16V"		ROH	NA	0.49	4956269406
124659	ZSCR	551	035-1	0	A2C3471080093	NA	A2C40006675	1	1351	"C CER,C0G,12pF,5%,50V,C0402,Sn"		ROH	NA	0.01	4956269406
124659	ZSCR	551	035-1	0	A2C3471080093	NA	A2C40007230	1	1351	"75V,200mA,1,STANDARD,SOD323,RECT DIODE/B"		ROH	NA	0.08	4956269406
124659	ZSCR	551	035-1	0	A2C3471080093	NA	A2C40007681	1	1351	"D SUP/SM15T39CA,DO214AB"		ROH	NA	1.31	4956269406
124659	ZSCR	551	035-1	0	A2C3471080093	NA	A2C40011121	1	1351	"R LIN,8K25,1%,TK100,125mW,R0805"		ROH	NA	0.01	4956269406
124659	ZSCR	551	035-1	0	A2C3471080093	NA	A2C40013602	1	1351	"T BIP/BCR523,SOT23"		ROH	NA	0.22	4956269406
124659	ZSCR	551	035-1	0	A2C3471080093	NA	A2C40014441	1	1351	"EX1-2U1 RELAY,TBD,SINGLE,12V"		ROH	NA	9.37	4956269406
124659	ZSCR	551	035-1	0	A2C3471080093	NA	A2C40016280	1	1351	"EX2-2U1-T RELAY,TBD,TWIN,12V"		ROH	NA	7.61	4956269406
124659	ZSCR	551	035-1	0	A2C3471080093	NA	A2C40016567	1	1351	"IC LOGIC/74HC165,IC_16-TSSOP-ST"		ROH	NA	1.52	4956269406
124659	ZSCR	551	035-1	0	A2C53350875	NA	A2C53103107	1	1351	receiver		ROH	NA	24.6	4956269663
124659	ZSCR	551	035-1	0	A2C53349876	NA	A2C53252204	17	1351	receiver		ROH	NA	634.27	4956269623
124660	ZSCR	551	035-1	0	40340074	NA	A2C00000211	7	1351	"15V,300mW,SOT23,ZENER/BZX84C15"		ROH	NA	0.63	4956269123
124660	ZSCR	551	035-1	0	40340074	NA	A2C00000243	135	1351	"33V,300mW,SOT23,ZENER/BZX84C33LT1"		ROH	NA	13.5	4956269123
