No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP		
143757	ZSCR	551	040-1	NA	5WK49830	NA	A2C53248677	1401	cover inner housing	NA	ROH	NA	1.65	S5_FOB ACURA 08_ENRIQUE	4957513587		
143757	ZSCR	551	040-1	NA	A2C53311812	NA	A2C53311812	1401	SMD SUB ASSY SMART FOB TOP VARIANT 7	NA	HALB	S.Real/AutoBF	34.12	S5_FOB ACURA 08_ENRIQUE	4957510762		
143758	ZSCR	551	034-2	NA	5WK49830	NA	A2C53248676	1342	inner housing	NA	ROH	NA	5.28	S5_FOB ACURA 08_ENRIQUE	4957513142		
143758	ZSCR	551	034-2	NA	5WK49830	NA	A2C53248677	1342	cover inner housing	NA	ROH	NA	3.3	S5_FOB ACURA 08_ENRIQUE	4957513142		
143758	ZSCR	551	034-2	NA	A2C53364288	NA	A2C53364288	1342	circuit board assy HONDA ZZDI	NA	HALB	S.Real/AutoBF	68.22	S5_FOB ACURA 08_ENRIQUE	4957510567		
143759	ZSCR	551	040-3	NA	5WK49598	NA	A2C53239501	1403	Subassy SMD Bottom Side FSMY08	NA	HALB	S.Real	19.21	S5_FOB SLOT 08_ENRIQUE	4957511631		
143760	ZSCR	551	040-1	NA	5WK49598	NA	A2C53239501	1401	Subassy SMD Bottom Side FSMY08	NA	HALB	S.Real	38.42	S5_FOB SLOT 08_ENRIQUE	4957511427		
143761	ZSCR	551	034-2	NA	5WY7567	NA	S120121001	1342	Tire Guard grey cap	NA	ROH	NA	2.43	S1_TG1C NISSAN_ (APROB	4957513188		
143762	ZSCR	551	034-2	NA	A2C53402100	NA	A2C53402100	1342	module assy TPM	NA	HALB	S.Real/AutoBF	47.15	S1_TG1C HYUNDAI_ (APRO	4957510591		
143763	ZSCR	551	034-1	NA	5WY8547	NA	A2C53402830	1341	parts kit assy TPM	NA	HALB	S.Real/AutoBF	96.62	S1_TG1C DCX_ (APROBACI	4957510500		
