No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Tipo	Tipo Sub	Doc. Header Tex	No.Docto.SAP
642256	16/07/2015	ZSCR	551	034-2	NA	'015	A2C53338452	NA	A2C53338452	3	1342	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914223
642261	16/07/2015	ZSCR	551	034-2	NA	'015	A2C8314440093	NA	A2C8314440093	1	1342	HALB	S.Real	S1_TG1C UNIVERSAL_. (A	4991916295
642261	16/07/2015	ZSCR	551	034-2	NA	'015	A2C9609150093	NA	A2C9609150093	2	1342	HALB	S.Real	S1_TG1C UNIVERSAL_. (A	4991916350
642263	16/07/2015	ZSCR	551	034-2	NA	'015	A2C8647920393	NA	A2C8647920393	5	1342	HALB	S.Real	S1_TG1C NISSAN_. (APRO	4991914728
642266	16/07/2015	ZSCR	551	034-2	NA	'015	A2C3144250093	NA	A2C3144250093	1	1342	HALB	S.Real	S1_TG1C DCX_. (APROBAC	4991914653
642299	16/07/2015	ZSCR	551	034-1	NA	'015	A2C8647920393	NA	A2C8647920393	1	1341	HALB	S.Real	S1_TG1C NISSAN_. (APRO	4991914716
642304	16/07/2015	ZSCR	551	034-2	NA	'015	A2C86733500	NA	A2C8673350093	2	1342	HALB	S.Real	S1_TIS 1D CHRYSLER_. (	4991916494
642305	16/07/2015	ZSCR	551	034-2	NA	'015	A2C86733500	NA	A2C8673350093	2	1342	HALB	S.Real	S1_TIS 1D CHRYSLER_. (	4991916494
642306	16/07/2015	ZSCR	551	034-2	NA	'015	A2C8551390093	NA	A2C8551390093	1	1342	HALB	S.Real	S1_TIS1C127 BMW_A.ADRIA	4991916733
642348	17/07/2015	ZSCR	551	034-2	NA	'015	A2C53328412	NA	A2C53328412	2	1342	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914214
642351	17/07/2015	ZSCR	551	034-2	NA	'050	A2C8314440093	NA	A2C8314440093	12	1342	HALB	S.Real	S1_TG1C UNIVERSAL_. (A	4991916295
642354	17/07/2015	ZSCR	551	040-3	NA	'050	A2C8314420093	NA	A2C8314420093	1	1403	HALB	S.Real	S1_TG1C UNIVERSAL_. (A	4991916289
642648	17/07/2015	ZSCR	551	034-2	NA	'015	A2C8647920393	NA	A2C8647920393	24	1342	HALB	S.Real	S1_TG1C UNIVERSAL_. (A	4991916312
642682	17/07/2015	ZSCR	551	034-2	NA	'050	A2C8673350093	NA	A2C8673350093	1	1342	HALB	S.Real	S1_TIS 1D CHRYSLER_. (	4991916494
642683	17/07/2015	ZSCR	551	034-2	NA	'050	A2C8673350093	NA	A2C8673350093	1	1342	HALB	S.Real	S1_TIS 1D CHRYSLER_. (	4991916494
642684	17/07/2015	ZSCR	551	034-2	NA	'050	A2C8647920393	NA	A2C8647920393	1	1342	HALB	S.Real	S1_TG1C NISSAN_. (APRO	4991914728
642720	18/07/2015	ZSCR	551	034-2	NA	'050	A2C8647890293	NA	A2C8647890293	15	1342	HALB	S.Real	S1_TG1C NISSAN_. (APRO	4991914703
642741	18/07/2015	ZSCR	551	034-9	NA	'015	A2C3752390093	NA	A2C3752390093	1	1349	HALB	S.Real	S1_BMW_A.ADRIAN CEBALLO	4991914097
642762	18/07/2015	ZSCR	551	034-2	NA	'015	A2C53328411	NA	A2C53328411	1	1342	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914203
642809	18/07/2015	ZSCR	551	040-1	NA	'015	A2C53328411	NA	A2C53328411	4	1401	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914281
642809	18/07/2015	ZSCR	551	040-1	NA	'015	A2C53328412	NA	A2C53328412	1	1401	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914290
642868	19/07/2015	ZSCR	551	040-1	NA	'050	A2C53328412	NA	A2C53328412	1	1401	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914290
642871	19/07/2015	ZSCR	551	034-2	NA	'050	A2C53328412	NA	A2C53328412	1	1342	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914214
642875	19/07/2015	ZSCR	551	034-2	NA	'050	A2C53328411	NA	A2C53328411	9	1342	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914203
642877	19/07/2015	ZSCR	551	040-3	NA	'050	A2C53338452	NA	A2C53338452	1	1403	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914462
642878	19/07/2015	ZSCR	551	034-2	NA	'050	A2C53338452	NA	A2C53338452	1	1342	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914223
642879	19/07/2015	ZSCR	551	034-2	NA	'050	A2C53338452	NA	A2C53338452	2	1342	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914223
642880	19/07/2015	ZSCR	551	034-2	NA	'050	A2C53338452	NA	A2C53338452	1	1342	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914223
642882	19/07/2015	ZSCR	551	034-2	NA	'050	A2C53338452	NA	A2C53338452	1	1342	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914223
642928	19/07/2015	ZSCR	551	034-2	NA	'050	A2C8158270393	NA	A2C8158270393	2	1342	HALB	S.Real	S1_TG1C NISSAN_. (APRO	4991914685
642929	19/07/2015	ZSCR	551	034-2	NA	'050	A2C3150570093	NA	A2C3150570093	5	1342	HALB	S.Real	S1_TIS 1D MMC_. (APROB	4991916687
642954	19/07/2015	ZSCR	551	034-2	NA	'015	A2C8673350093	NA	A2C8673350093	60	1342	HALB	S.Real	S1_TIS 1D CHRYSLER_. (	4991916494
643044	20/07/2015	ZSCR	551	034-2	NA	'015	5WY8835	NA	A2C53328411	8	1342	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914203
643047	20/07/2015	ZSCR	551	042-4	NA	'015	5WY8834	NA	A2C53328412	1	1424	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914519
643048	20/07/2015	ZSCR	551	034-2	NA	'015	5WY8834	NA	A2C53328412	1	1342	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914214
643058	20/07/2015	ZSCR	551	040-3	NA	'015	5WY8837	NA	A2C53328411	4	1403	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914396
643096	20/07/2015	ZSCR	551	034-2	NA	'015	5WY8835	NA	A2C53328411	8	1342	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914203
643100	20/07/2015	ZSCR	551	040-3	NA	'015	5WY8834	NA	A2C53328412	1	1403	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914440
643535	20/07/2015	ZSCR	551	034-2	NA	'015	A2C31442500	NA	A2C3144250093	3	1342	HALB	S.Real	S1_TG1C DCX_. (APROBAC	4991914653
643649	21/07/2015	ZSCR	551	034-2	NA	'050	A2C53328411	NA	A2C53328411	2	1342	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914203
643650	21/07/2015	ZSCR	551	040-3	NA	'050	A2C53338452	NA	A2C53338452	2	1403	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914462
643663	21/07/2015	ZSCR	551	040-3	NA	'015	5WY8835	NA	A2C53328411	4	1403	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914396
