No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP
156252	ZSCR	551	035-1	0	A2C31624400B	NA	A2C00020895	20	3011	050		1351	"70V,150mA,2, common anode, FAST,SOT323_3"		ROH	NA	1.8	ES_V8 V10_NA	4958241346
156252	ZSCR	551	035-1	0	A2C31624600B	NA	A2C00020895	10	3011	050		1351	"70V,150mA,2, common anode, FAST,SOT323_3"		ROH	NA	0.9	ES_V8 V10_NA	4958241494
156252	ZSCR	551	035-1	0	A2C31624400B	NA	A2C00020895	20	3011	050		1351	"70V,150mA,2, common anode, FAST,SOT323_3"		ROH	NA	1.8	ES_V8 V10_NA	4958241346
156252	ZSCR	551	035-1	0	A2C31624600B	NA	A2C00020895	10	3011	050		1351	"70V,150mA,2, common anode, FAST,SOT323_3"		ROH	NA	0.9	ES_V8 V10_NA	4958241494
156252	ZSCR	551	035-1	0	A2C31624100T	NA	A2C00021131	17	3011	050		1351	"1,N_CHAN,MOS,POWER,55V,17A,70mOhm,D2PACK"		ROH	NA	31.28	ES_V8 V10_NA	4958241284
156252	ZSCR	551	035-1	0	A2C31624600T	NA	A2C00021131	22	3011	050		1351	"1,N_CHAN,MOS,POWER,55V,17A,70mOhm,D2PACK"		ROH	NA	40.48	ES_V8 V10_NA	4958241531
156252	ZSCR	551	035-1	0	A2C31624100T	NA	A2C00021131	17	3011	050		1351	"1,N_CHAN,MOS,POWER,55V,17A,70mOhm,D2PACK"		ROH	NA	31.28	ES_V8 V10_NA	4958241284
156252	ZSCR	551	035-1	0	A2C31624600T	NA	A2C00021131	22	3011	050		1351	"1,N_CHAN,MOS,POWER,55V,17A,70mOhm,D2PACK"		ROH	NA	40.48	ES_V8 V10_NA	4958241531
156252	ZSCR	551	035-1	0	A2C31624100T	NA	A2C00022909	53	3011	050		1351	"2.2nF,10%,50V,X7R,0402,TINNED,CER CAP/C1"		ROH	NA	0.53	ES_V8 V10_NA	4958241284
156252	ZSCR	551	035-1	0	A2C31624400B	NA	A2C00022909	126	3011	050		1351	"2.2nF,10%,50V,X7R,0402,TINNED,CER CAP/C1"		ROH	NA	1.26	ES_V8 V10_NA	4958241346
