area,tecnologia,defecto,causa,division,proyecto
BACKEND/ENSAMBLE FINAL,EMPAQUE,SERIAL DUPLICADO,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,LAQUEADO,COMPONENTE DAÑADO,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,LAQUEADO,COMPONENTE DAÑADO,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,LAQUEADO,COMPONENTE ARRANCADO,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,LAQUEADO,COMPONENTE ARRANCADO,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,LAQUEADO,INSUFICIENCIA DE LACA,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,LAQUEADO,INSUFICIENCIA DE LACA,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,LAQUEADO,EXCESO DE LACA,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,LAQUEADO,EXCESO DE LACA,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,LAQUEADO,PRUEBA DE INGENIERIA,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,LAQUEADO,PRUEBA DE INGENIERIA,METODO,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,LAQUEADO,SET UP DE EQUIPO,METODO,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,LAQUEADO,MATERIAL OBSOLETO,METODO,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,LAQUEADO,UNIDAD CAIDA AL PISO,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,LAQUEADO,UNIDAD CAIDA AL PISO,METODO,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,LAQUEADO,UNIDAD CAIDA AL PISO,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,MATERIAL OBSOLETO,METODO,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,CONECTOR DAÑADO,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,CONECTOR DAÑADO,PROVEEDOR,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,CONECTOR DAÑADO,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,PIN DE CONECTOR SUMIDO,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,PIN DE CONECTOR SUMIDO,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,EXCESO DE PRUEBAS,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,MUESTRA DE ORO OBSOLETA,METODO,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,PRUEBA DE INGENIERIA,METODO,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,SET UP DE EQUIPO,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,UNIDAD CAIDA AL PISO,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,UNIDAD CAIDA AL PISO,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,SHAKER,MATERIAL OBSOLETO,METODO,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,SHAKER,CONECTOR DAÑADO,MANO DE OBRA,PSAD,HYUNDAI
