No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	3011	´015	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP	
566828	#########	ZSCR	551	050-5	NA	'AEES	A2C32144600	NA	A2C32144600	1				1505	MY12 SPDJB LOOP PROGRAM ASM MODEL B	NA	HALB	S.Real	222.65	S1_SPDJB-JUAREZ_M.MARIO	NO	4985764760	
566828	#########	ZSCR	551	050-5	NA	'AEES	A2C32147600	NA	A2C32147600	4				1505	MY12 SPDJB LOOP PROGRAM ASM MODEL A	NA	HALB	S.Real	803.8	S1_SPDJB-JUAREZ_M.MARIO	NO	4985764784	
566830	#########	ZSCR	551	050-5	NA	'AEES	A2C53428271	NA	A2C53428271	2				1505	TIPM MY11 7C S1 BUX LOG MODEL	NA	HALB	S.Real	448.62	S1_TIMP-JUAREZ_M.MARIO	NO	4985764794	
566830	#########	ZSCR	551	050-5	NA	'AEES	A2C73658000	NA	A2C73658000	8				1505	module assy BCU TIPM 7Ci MY13	NA	HALB	S.Real	1676.64	S1_TIMP-JUAREZ_M.MARIO	NO	4985764823	
566844	#########	ZSCR	551	030-1	NA	'015	A2C31231200	NA	A2C31231400	1				1301	pcb topMAN BCU CHR 7Ci S1	NA	HALB	S.Real/AutoBF	226.66	S1_TIPM LOGIC_P.PABLO P	NO	4985703114	
566845	#########	ZSCR	551	034-2	NA	'015	A2C31231200	NA	A2C31231400	1				1342	pcb topMAN BCU CHR 7Ci S1	NA	HALB	S.Real/AutoBF	226.66	S1_TIPM LOGIC_P.PABLO P	NO	4985703137	
566853	#########	ZSCR	551	050-1	NA	'015	A2C74493401	NA	A2C74493401	1				1501	pcb topTHD BCU CHRDX CBC2	NA	HALB	S.Real/AutoBF	416.76	S1_CBC MY15_. (APROBAC	NO	4985706476	**
566954	#########	ZSCR	551	050-5	NA	'015	A2C87408101	NA	A2C73753202	2				1505	transmitter CHR PASE 433 GV#06 5B	NA	HALB	S.Real	191.88	S1_PASE FOB CUSW_A.ADRI	NO	sig ventana	**
566954	#########	ZSCR	551	050-5	NA	'015	A2C87408001	NA	A2C73753302	3				1505	transmitter CHR PASE 433 GV#07 4B	NA	HALB	S.Real	280.47	S1_PASE FOB CUSW_A.ADRI	NO	sig ventana	**
566954	#########	ZSCR	551	050-5	NA	'015	A2C87408301	NA	A2C73753602	9				1505	transmitter CHR PASE 433 GV#10 3B	NA	HALB	S.Real	819.45	S1_PASE FOB CUSW_A.ADRI	NO	sig ventana	**
