No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID		Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257270092	NA	A2C00022618	9	1351	"442R,1%,TK50,1W,MELF0207,LIN RES/MMB0207"		ROH	NA	2.16	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257270092	NA	A2C00032168	24	1351	"R LIN,1K3,1%,TK100,63mW,0402"		ROH	NA	0.24	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257270092	NA	A2C00019592	132	1351	"R LIN,5K62,1%,TK100,63mW,0402"		ROH	NA	1.32	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257270092	NA	A2C00292100	10	1351	"SEN/SYCAMORE,ACC, XY, 100g,OHT"		ROH	NA	128	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257270092	NA	A2C00019595	51	1351	"R LIN,22K1,1%,TK100,63mW,0402"		ROH	NA	0.51	PS_SDM30_L.LPL AUTOMATI	NO	
475971	6/18/2014	ZSCR	551	035-1	0	'054	A2C8254200093	NA	A2C40003924	23	1351	"R LIN,100K,5%,TK200,100mW,0603"		ROH	NA	0.23	PSAD_OPEL 4400_L.LPL AU	NO	
475971	6/18/2014	ZSCR	551	035-1	0	'054	A2C8254200093	NA	A2C40011871	82	1351	"R LIN,470R,5%,TK200,63mW,0402"		ROH	NA	0.82	PSAD_OPEL 4400_L.LPL AU	NO	
475971	6/18/2014	ZSCR	551	035-1	0	'054	A2C8254200093	NA	A2C40002660	39	1351	"T BIP/BCR10PNH6727,SOT363"		ROH	NA	7.41	PSAD_OPEL 4400_L.LPL AU	NO	
475971	6/18/2014	ZSCR	551	035-1	0	'054	A2C8254200093	NA	A2C40003555	21	1351	"R LIN,2K74,1%,TK100,100mW,0603"		ROH	NA	0.21	PSAD_OPEL 4400_L.LPL AU	NO	
475971	6/18/2014	ZSCR	551	035-1	0	'054	A2C8253870093	NA	A2C40011871	11	1351	"R LIN,470R,5%,TK200,63mW,0402"		ROH	NA	0.11	PSAD_OPEL 4400_L.LPL AU	NO	
475971	6/18/2014	ZSCR	551	035-1	0	'054	A2C8253870093	NA	A2C40006668	29	1351	"C CER,X7R,150nF,15%,50V,C0805,Sn"		ROH	NA	1.74	PSAD_OPEL 4400_L.LPL AU	NO	
