No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	Espacio	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
624213	26/05/2015	ZSCR	551	035-1	0	'054	A2C53399617B	NA	A2C40002657	21	3011	054	 	1351	"D SUP/MMBZ27VDA,SOT23"		ROH	NA	2.52	PS_HONDA HRS5_A.APROBAC	NO	
624213	26/05/2015	ZSCR	551	035-1	0	'054	A2C5339962993	NA	A2C40002657	40	3011	054	 	1351	"D SUP/MMBZ27VDA,SOT23"		ROH	NA	4.8	PS_HONDA HRS5_A.APROBAC	NO	
624215	26/05/2015	ZSCR	551	035-1	0	'054	A2C9800350192	NA	A2C00006435	23	3011	054	 	1351	"1R,5%,TK600,63mW,0603,LIN RES/"		ROH	NA	0.23	PS_VW10 LC_A.APROBACION	NO	
624215	26/05/2015	ZSCR	551	035-1	0	'054	A2C9800360192	NA	A2C00006435	28	3011	054	 	1351	"1R,5%,TK600,63mW,0603,LIN RES/"		ROH	NA	0.28	PS_VW10 LC_A.APROBACION	NO	
624215	26/05/2015	ZSCR	551	035-1	0	'054	A2C9800350193	NA	A2C00006609	1	3011	054	 	1351	"R LIN,100R,5%,TK200,63mW,0402"		ROH	NA	0.01	PS_VW10 LC_A.APROBACION	NO	
624215	26/05/2015	ZSCR	551	035-1	0	'054	A2C9800360193	NA	A2C00006609	1	3011	054	 	1351	"R LIN,100R,5%,TK200,63mW,0402"		ROH	NA	0.01	PS_VW10 LC_A.APROBACION	NO	
624215	26/05/2015	ZSCR	551	035-1	0	'054	A2C53417068A	NA	A2C00006609	32	3011	054	 	1351	"R LIN,100R,5%,TK200,63mW,0402"		ROH	NA	0.32	PS_VW10 LC_A.APROBACION	NO	
624215	26/05/2015	ZSCR	551	035-1	0	'054	A2C9800350193	NA	A2C00006616	1	3011	054	 	1351	"R LIN,7K5,5%,TK200,63mW,0402"		ROH	NA	0.01	PS_VW10 LC_A.APROBACION	NO	
624215	26/05/2015	ZSCR	551	035-1	0	'054	A2C53417068A	NA	A2C00006616	48	3011	054	 	1351	"R LIN,7K5,5%,TK200,63mW,0402"		ROH	NA	0.48	PS_VW10 LC_A.APROBACION	NO	
624215	26/05/2015	ZSCR	551	035-1	0	'054	A2C53417068A	NA	A2C00007051	16	3011	054	 	1351	"R LIN,499R,1%,TK100,100mW,0603"		ROH	NA	0.16	PS_VW10 LC_A.APROBACION	NO	
624215	26/05/2015	ZSCR	551	035-1	0	'054	A2C9800360192	NA	A2C00007695	5	3011	054	 	1351	"2,NPN,RET,100mA,50V,SOT363,BIP/BCR135/R<"		ROH	NA	0.8	PS_VW10 LC_A.APROBACION	NO	
624215	26/05/2015	ZSCR	551	035-1	0	'054	A2C53417068A	NA	A2C00007695	83	3011	054	 	1351	"2,NPN,RET,100mA,50V,SOT363,BIP/BCR135/R<"		ROH	NA	13.28	PS_VW10 LC_A.APROBACION	NO	
624215	26/05/2015	ZSCR	551	035-1	0	'054	A2C53417068A	NA	A2C00010444	8	3011	054	 	1351	"0R05,63mW,1A,0402,JUMPER/+++please use A"		ROH	NA	0.08	PS_VW10 LC_A.APROBACION	NO	
