No.Item	Txs SAP	Mov	C—digo Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
120742	ZSCR	551	040-1	NA	5WK49670C	NA	A2C53285996	1	1401	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real/AutoBF	51.99	4956143565
120745	ZSCR	551	040-1	NA	5WK49611C	NA	A2C53297308B	1	1401	SMD Subassy NIS EUR 433. 2bundle	NA	HALB	S.Real	50.79	4956143550
120750	ZSCR	551	040-2	NA	5WK49608C	NA	A2C53297306B	1	1402	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	51.99	4956143441
120765	ZSCR	551	030-1	NA	5WK48902C	NA	A2C53100307B	1	1301	SMD Subassembly Key Fob 3B 314.85MHz JP	NA	HALB	S.Real	50.86	4956143829
120768	ZSCR	551	030-1	NA	5WK48902C	NA	A2C53100307B	1	1301	SMD Subassembly Key Fob 3B 314.85MHz JP	NA	HALB	S.Real	50.86	4956143829
120772	ZSCR	551	030-1	NA	5WK48902C	NA	A2C53100307B	1	1301	SMD Subassembly Key Fob 3B 314.85MHz JP	NA	HALB	S.Real	50.86	4956143829
120773	ZSCR	551	030-1	NA	5WK48902C	NA	A2C53100307B	1	1301	SMD Subassembly Key Fob 3B 314.85MHz JP	NA	HALB	S.Real	50.86	4956143829
120776	ZSCR	551	030-1	NA	5WK48902C	NA	A2C53100307B	1	1301	SMD Subassembly Key Fob 3B 314.85MHz JP	NA	HALB	S.Real	50.86	4956143829
120778	ZSCR	551	030-1	NA	5WK48902C	NA	A2C53100307B	1	1301	SMD Subassembly Key Fob 3B 314.85MHz JP	NA	HALB	S.Real	50.86	4956143829
120782	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	2	1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	103.98	4956143853
120784	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	1	1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	51.99	4956143853
120785	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	1	1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	51.99	4956143853
120788	ZSCR	551	030-1	NA	5WK49612C	NA	A2C53297309B	1	1301	SMD Subassy NIS US 315 M 2bundle	NA	HALB	S.Real	50.8	4956143885
120789	ZSCR	551	030-1	NA	5WK48902C	NA	A2C53100307B	3	1301	SMD Subassembly Key Fob 3B 314.85MHz JP	NA	HALB	S.Real	152.58	4956143829
120796	ZSCR	551	030-1	NA	5WK49612C	NA	A2C53297309B	1	1301	SMD Subassy NIS US 315 M 2bundle	NA	HALB	S.Real	50.8	4956143885
120813	ZSCR	551	040-2	NA	5WK48902C	NA	A2C00004906	1	1402	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	1.37	4956143353
120813	ZSCR	551	040-2	NA	5WK48902C	NA	A2C53319341	9	1402	"compression spring D= 1,20x 0,25x 9,40"	NA	ROH	NA	0.36	4956143353
120813	ZSCR	551	040-2	NA	5WK48902C	NA	A2C53358639	3	1402	contact spring	NA	ROH	NA	1.68	4956143353
120813	ZSCR	551	040-2	NA	5WK49670C	NA	A2C53385463	1	1402	pushbutton	NA	ROH	NA	10.18	4956143400
120823	ZSCR	551	034-2	NA	5WK49670C	NA	A2C53285996B	31	1342	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	1580.38	4956143643
121098	ZSCR	551	040-3	NA	5WY7700	NA	A2C53114671	1	1403	housing	NA	ROH	NA	2.8	4956143257
121098	ZSCR	551	040-3	NA	5WY7700	NA	A2C53141571	1	1403	housing assy NIS D-PLAT	NA	ROH	NA	32.22	4956143257
121118	ZSCR	551	034-2	NA	S180039013	NA	A2C53121775	5	1342	housing	NA	ROH	NA	8.4	4956143631
121124	ZSCR	551	040-3	NA	5WK49670C	NA	A2C00004906	2	1403	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	2.74	4956143228
121124	ZSCR	551	040-3	NA	5WK49670C	NA	A2C53319341	1	1403	"compression spring D= 1,20x 0,25x 9,40"	NA	ROH	NA	0.04	4956143228
121124	ZSCR	551	040-3	NA	5WK49670C	NA	A2C53323911	1	1403	housing	NA	ROH	NA	1.06	4956143228
121124	ZSCR	551	040-3	NA	5WK49670C	NA	A2C53323916	1	1403	slide	NA	ROH	NA	0.8	4956143228
121124	ZSCR	551	040-3	NA	5WK49670C	NA	A2C53358639	1	1403	contact spring	NA	ROH	NA	0.56	4956143228
121124	ZSCR	551	040-3	NA	S180143002	NA	A2C53365040	1	1403	housing bottom	NA	ROH	NA	0.96	4956143284
121124	ZSCR	551	040-3	NA	5WK48902C	NA	A2C53385461	3	1403	pushbutton	NA	ROH	NA	31.5	4956143186
121130	ZSCR	551	030-1	NA	A2C53297306	NA	A2C53297341	30	1301	pcb NIS	NA	ROH	NA	95.1	4956143809
121131	ZSCR	551	040-3	NA	5WY7700	NA	A2C53184512	1	1403	circuit board assy NIS D-PLAT PCB = CO	NA	HALB	S.Real/AutoBF	39.3	4956143336
121132	ZSCR	551	030-1	NA	5WY7700	NA	A2C53184512	1	1301	circuit board assy NIS D-PLAT PCB = CO	NA	HALB	S.Real/AutoBF	39.3	4956143987
121135	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	8	1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	407.84	4956143913
121136	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	1	1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4956143913
121137	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	1	1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4956143913
121139	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	1	1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4956143913
121140	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	1	1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4956143913
121141	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	1	1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	51.99	4956143853
121142	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	1	1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4956143913
121143	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	30	1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	1559.7	4956143853
121145	ZSCR	551	030-1	NA	S180039015	NA	A2C53212570	4	1301	circuit board assy RF Tuner EUR	NA	HALB	S.Real	197.8	4956143942
121282	ZSCR	551	034-2	NA	5WY7700	NA	A2C53184512	3	1342	circuit board assy NIS D-PLAT PCB = CO	NA	HALB	S.Real/AutoBF	117.9	4956143665
121285	ZSCR	551	030-1	NA	5WY7700	NA	A2C53184512	1	1301	circuit board assy NIS D-PLAT PCB = CO	NA	HALB	S.Real/AutoBF	39.3	4956143987
121286	ZSCR	551	040-1	NA	5WY7700	NA	A2C53114671	1	1401	housing	NA	ROH	NA	2.8	4956143542
121286	ZSCR	551	040-1	NA	5WY7700	NA	A2C53184512	1	1401	circuit board assy NIS D-PLAT PCB = CO	NA	HALB	S.Real/AutoBF	39.3	4956143559
121287	ZSCR	551	040-3	NA	5WY7700	NA	A2C53114671	5	1403	housing	NA	ROH	NA	14	4956143257
121287	ZSCR	551	040-3	NA	5WY7700	NA	A2C53124003	5	1403	sticker	NA	ROH	NA	0.85	4956143257
121287	ZSCR	551	040-3	NA	5WY7700	NA	A2C53141571	1	1403	housing assy NIS D-PLAT	NA	ROH	NA	32.22	4956143257
121287	ZSCR	551	040-3	NA	S180064008	NA	A2C53245739	3	1403	bracket TLS_READER_L4	NA	ROH	NA	23.88	4956143269
121294	ZSCR	551	034-2	NA	S180039001	NA	A2C53212575	1	1342	Subassy ICT TLS_RECEIV 433 MHz	NA	HALB	S.Real/AutoBF	59.01	4956143659
