No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Parte Padre 2	Batch ID	No.Parte	Cantidad	 	 	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
671677	10/10/2015	ZSCR	551	040-2	NA	'054	A2C96829301	A2C96705602	#N/A	A2C96829301	1	3011	054	 	1402	pcb assy HONHRS7 D_1-1	1	HALB	S.Real	320.62	PS_HONDA HRS7_.	NO	
671687	11/10/2015	ZSCR	551	034-2	NA	'054	5WK43877	5WK43877	#N/A	A2C00013374	1.08	3011	054	 	1342	protective laquer BECTRON PK4340	3	ROH	NA	442.27	PS_ARAMIS 2013_.	NO	
671721	11/10/2015	ZSCR	551	040-3	NA	'054	5WK43876	5WK43876	12	A2C00013374	1	3011	054	 	1403	protective laquer BECTRON PK4340	8	ROH	NA	409.51	PSAD_DAIMLER STAR 2_A.A	NO	
671721	11/10/2015	ZSCR	551	040-3	NA	'054	A2C92704001	A2C92704001	#N/A	A2C96631600	1	3011	054	 	1403	pcb assy DAGSTAR2 ISC with SW	179	HALB	S.Real	411.05	PSAD_DAIMLER STAR 2_A.A	NO	4995019292
671728	11/10/2015	ZSCR	551	040-3	NA	'054	5WK43876	5WK43876	12	A2C00013374	0.007	3011	054	 	1403	protective laquer BECTRON PK4340	8	ROH	NA	2.87	PSAD_DAIMLER STAR2_ISC_	NO	
671794	12/10/2015	ZSCR	551	030-1	NA	'054	A2C96590001	A2C96590001	01	A2C96660500	1	3011	054	 	1301	pcb assy FIA326 OCS V15_1	38	HALB	S.Real	164.81	PS_VW10 LC_.	NO	4995019366
671796	12/10/2015	ZSCR	551	030-1	NA	'054	5WK43876	5WK43876	12	A2C00013374	0.003	3011	054	 	1301	protective laquer BECTRON PK4340	8	ROH	NA	1.23	PSAD_DAIMLER STAR2_ISC_	NO	
671797	12/10/2015	ZSCR	551	030-1	NA	'054	A2C96810400	A2C96810400	#N/A	A2C9841000093	1	3011	054	 	1301	pcb assy GMSDM30	51	HALB	S.Real	395.76	PS_SDM30_.	NO	4995020092
671799	12/10/2015	ZSCR	551	030-1	NA	'054	A2C96810400	A2C96810400	#N/A	A2C9841000093	1	3011	054	 	1301	pcb assy GMSDM30	51	HALB	S.Real	395.76	PS_SDM30_.	NO	4995020092
671809	12/10/2015	ZSCR	551	030-1	NA	'054	A2C32453912	A2C32453912	#N/A	A2C35116101	3	3011	054	 	1301	pcb assy DAGSTAR2 D_12	29	HALB	S.Real	1184.4	PSAD_DAIMLER STAR 2_A.A	NO	4995016172
671811	12/10/2015	ZSCR	551	030-1	NA	'054	A2C92704001	A2C92704001	#N/A	A2C96631600	1	3011	054	 	1301	pcb assy DAGSTAR2 ISC with SW	179	HALB	S.Real	411.05	PSAD_DAIMLER STAR2_ISC_	NO	4995019292
671825	12/10/2015	ZSCR	551	030-1	NA	'054	A2C86816904	A2C86816904	#N/A	A2C9663140093	1	3011	054	 	1301	pcb assy DAGARM3 RO V16-1 SMD TOP	43	HALB	S.Real	389.68	PS_ARAMIS III_.	NO	4995018986
