No.Item	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
258491	ZSCR	551	035-1	0	'050	6521037631A	NA	A2C00007010	2	3011	050		1351	"1,N_CHAN,-,SMALLSIGNAL,100V,150mA,6Ohm,S"		ROH	NA	0.44	ES_IDM_NORA ANCHONDO	NO	4964324653
258491	ZSCR	551	035-1	0	'050	6521037631A	NA	A2C00024142	139	3011	050		1351	"470nF,10%,100V,X7R,1210,TINNED,CER CAP/M"		ROH	NA	93.13	ES_IDM_NORA ANCHONDO	NO	4964324653
258491	ZSCR	551	035-1	0	'050	6521037631A	NA	A2C00000939	4	3011	050		1351	TRANCEIVER: BIDIRECTIONAL BUS T		ROH	NA	38.24	ES_IDM_NORA ANCHONDO	NO	4964324653
258491	ZSCR	551	035-1	0	'050	6521037631A	NA	A2C00013059	5	3011	050		1351	"1,GATE,SOT353,LOGIC/74HC1G04GW"		ROH	NA	1.15	ES_IDM_NORA ANCHONDO	NO	4964324653
258491	ZSCR	551	035-1	0	'050	6521037631A	NA	A2C00004249	1	3011	050		1351	"4K32,1%,TK100,125mW,0805,LIN RES/"		ROH	NA	0.01	ES_IDM_NORA ANCHONDO	NO	4964324653
258491	ZSCR	551	035-1	0	'050	6521037631A	NA	6594352032	40	3011	050		1351	"100R,1%,TK100,1W,0207_SMD_CHP,"		ROH	NA	62	ES_IDM_NORA ANCHONDO	NO	4964324653
258491	ZSCR	551	035-1	0	'050	6521037631A	NA	A2C00006416	5	3011	050		1351	"PTN ! 70V,200mA,2,FAST,SOT323_3,RECT DIO"		ROH	NA	0.45	ES_IDM_NORA ANCHONDO	NO	4964324653
258491	ZSCR	551	035-1	0	'050	6521037631A	NA	9152234	55	3011	050		1351	"22K,5%,TK250,63MW,0603,FIX RES"		ROH	NA	0.55	ES_IDM_NORA ANCHONDO	NO	4964324653
258491	ZSCR	551	035-1	0	'050	6521037631A	NA	6592312071	3	3011	050		1351	DIODO RECTIFICADOR		ROH	NA	0.51	ES_IDM_NORA ANCHONDO	NO	4964324653
258491	ZSCR	551	035-1	0	'050	6521037631A	NA	A2C00019144	2	3011	050		1351	"68uF,10%,10V,SMD,TA,ELEC CAP/"		ROH	NA	2.64	ES_IDM_NORA ANCHONDO	NO	4964324653
258491	ZSCR	551	035-1	0	'050	6521037631A	NA	9152217	5	3011	050		1351	"4K7,5%,TK250,63MW,0603,FIX RES"		ROH	NA	0.05	ES_IDM_NORA ANCHONDO	NO	4964324653
258491	ZSCR	551	035-1	0	'050	6521037631A	NA	A2C00000176	1	3011	050		1351	"33V,500mW,MINIMELF_D,ZENER/BZT55C33GS08"		ROH	NA	0.1	ES_IDM_NORA ANCHONDO	NO	4964324653
