No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
600432	18/03/2015	ZSCR	551	040-2	NA	'015	A2C73601800	NA	A2C73637100	3	1402	NA	ROH	NA	73.23	S1_CBC MY15_. (APROBAC	NO			
600435	18/03/2015	ZSCR	551	034-2	NA	'050	A2C32291400	NA	A2C32464300	4	1342	NA	ROH	NA	116.68	S1_CUSW UF RFHM_A.ADRIA	NO	4988225242		
600492	18/03/2015	ZSCR	551	042-4	NA	'015	A2C37668700	NA	A2C53105128	34	1424	NA	ROH	NA	10.54	S1_PASE FOB CUSW_A.ADRI	NO			
600492	18/03/2015	ZSCR	551	042-4	NA	'015	A2C86022600	NA	A2C73750400	2	1424	NA	ROH	NA	16.82	S1_PASE FOB CUSW_A.ADRI	NO			
600492	18/03/2015	ZSCR	551	042-4	NA	'015	A2C86022600	NA	A2C73750700	2	1424	NA	ROH	NA	11.2	S1_PASE FOB CUSW_A.ADRI	NO			
600492	18/03/2015	ZSCR	551	042-4	NA	'015	A2C73752901	NA	A2C73751200	1	1424	NA	ROH	NA	2.17	S1_PASE FOB CUSW_A.ADRI	NO			
600492	18/03/2015	ZSCR	551	042-4	NA	'015	A2C73752901	NA	A2C73751400	2	1424	NA	ROH	NA	2.56	S1_PASE FOB CUSW_A.ADRI	NO			
600767	18/03/2015	ZSCR	551	034-2	NA	'050	A2C7384970293	NA	A2C00048064	3	1342	NA	ROH	NA	43.08	S1_CBC MY15_. (APROBAC	NO			
600894	19/03/2015	ZSCR	551	034-2	NA	'050	A2C32292200	NA	A2C35130000	2	1342	NA	ROH	NA	20.02	S1_RFHM CUSW_A.ADRIANA	NO	4988225292		
600896	19/03/2015	ZSCR	551	034-2	NA	'050	A2C32291400	NA	A2C40000660	5	1342	NA	ROH	NA	108.25	S1_WK_WD RFHUB_A.ADRIAN	NO	4988225242		
600896	19/03/2015	ZSCR	551	034-2	NA	'050	A2C81624000	NA	A2C89521800	4	1342	NA	ROH	NA	35.28	S1_WK_WD RFHUB_A.ADRIAN	NO			
