No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad			Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
563623	11/12/2014	ZSCR	551	050-1	NA	'015	A2C9436980093	NA	A2C9436980093	2			1501	pcb assy SMD TOP	NA	HALB	S.Real	87.38	S1_TESLA TG ECU_. (APR	NO	4985092896
563668	11/12/2014	ZSCR	551	040-1	NA	'015	A2C53328411	NA	A2C53328411	2			1401	circuit board assy	NA	HALB	S.Real	151.16	S1_DCU_A.ADRIAN CEBALLO	NO	4985092540
563668	11/12/2014	ZSCR	551	040-1	NA	'015	A2C53338452	NA	A2C53338452	1			1401	circuit board assy	NA	HALB	S.Real	51.82	S1_DCU_A.ADRIAN CEBALLO	NO	4985092698
563669	11/12/2014	ZSCR	551	034-2	NA	'015	A2C53338452	NA	A2C53338452	1			1342	circuit board assy	NA	HALB	S.Real	51.82	S1_DCU_A.ADRIAN CEBALLO	NO	4985092643
563671	11/12/2014	ZSCR	551	034-2	NA	'015	A2C53328411	NA	A2C53328411	2			1342	circuit board assy	NA	HALB	S.Real	151.16	S1_DCU_A.ADRIAN CEBALLO	NO	4985092553
563671	11/12/2014	ZSCR	551	034-2	NA	'015	A2C53338452	NA	A2C53338452	5			1342	circuit board assy	NA	HALB	S.Real	259.1	S1_DCU_A.ADRIAN CEBALLO	NO	4985092643
563674	11/12/2014	ZSCR	551	034-2	NA	'015	A2C53338452	NA	A2C53338452	3			1342	circuit board assy	NA	HALB	S.Real	155.46	S1_DCU_A.ADRIAN CEBALLO	NO	4985092643
563675	11/12/2014	ZSCR	551	040-3	NA	'015	A2C53338452	NA	A2C53338452	24			1403	circuit board assy	NA	HALB	S.Real	1243.68	S1_DCU_A.ADRIAN CEBALLO	NO	4985092858
563676	11/12/2014	ZSCR	551	034-2	NA	'015	A2C53328412	NA	A2C53328412	8			1342	circuit board assy	NA	HALB	S.Real	641.92	S1_DCU_A.ADRIAN CEBALLO	NO	4985092643
563752	12/12/2014	ZSCR	551	034-2	NA	'015	A2C30777500	NA	A2C8156880093	96			1342	circuit board assy TPM TOP	NA	HALB	S.Real	2681.28	S1_TG1C UNIVERSAL_J.JAI	NO	4985093345
563766	12/12/2014	ZSCR	551	034-2	NA	'015	A2C37966400	NA	A2C8551390093	1			1342	circuit board assy TPM Bottom	NA	HALB	S.Real	23.23	S1_TIS1C127 BMW_A.ADRIA	NO	4985093527
563771	12/12/2014	ZSCR	551	034-2	NA	'015	A2C53347681	NA	A2C3150570093	2			1342	circuit board assy TPM 315 MHz	NA	HALB	S.Real	55.44	S1_TIS 1C MMC_. (APROB	NO	4985093429
563772	12/12/2014	ZSCR	551	034-2	NA	'015	A2C31442400	NA	A2C3144240093	4			1342	circuit board assy TPM 315 MHz Top	NA	HALB	S.Real	111.72	S1_TG1C DCX_J.JAIME JIM	NO	4985092974
563838	12/12/2014	ZSCR	551	022-2	NA	'015	A2C87144000	NA	A2C8749600093	5			1222	pcb assy BCU Top	NA	HALB	S.Real	106.05	S5_TIS1C127 NISSAN_C.CA	NO	4985093606
563840	12/12/2014	ZSCR	551	022-2	NA	'015	A2C37966600	NA	A2C8551390093	1			1222	circuit board assy TPM Bottom	NA	HALB	S.Real	23.23	S1_TIS1C127 BMW_A.ADRIA	NO	4985093527
