No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock			
665117	21/09/2015	ZSCR	551	035-1	0	'054	A2C9449080092	NA	A2C00039384	2	1351	"1,N_CHAN,MOS,POWER,55V,7A,68mOhm,SOT223,"	#N/A	ROH	NA	2.76	PS_HONDA HRS5_L.LPL AUT	NO	4993824854		
665117	21/09/2015	ZSCR	551	035-1	0	'054	A2C53399617B	NA	A2C00039384	31	1351	"1,N_CHAN,MOS,POWER,55V,7A,68mOhm,SOT223,"	#N/A	ROH	NA	42.78	PS_HONDA HRS5_L.LPL AUT	NO	4993824776		
665117	21/09/2015	ZSCR	551	035-1	0	'054	A2C5343547792	NA	A2C00039384	2	1351	"1,N_CHAN,MOS,POWER,55V,7A,68mOhm,SOT223,"	#N/A	ROH	NA	2.76	PS_HONDA HRS5_L.LPL AUT	NO	4993823907		
665117	21/09/2015	ZSCR	551	035-1	0	'054	A2C53399621B	NA	A2C00040894	1	1351	"2,PNP,RET,R<b>=10k R<e-b>=10k, 100mA,50"	#N/A	ROH	NA	0.16	PS_HONDA HRS5_L.LPL AUT	NO	4993823688		
665117	21/09/2015	ZSCR	551	035-1	0	'054	A2C53399617B	NA	A2C00040894	5	1351	"2,PNP,RET,R<b>=10k R<e-b>=10k, 100mA,50"	#N/A	ROH	NA	0.8	PS_HONDA HRS5_L.LPL AUT	NO	4993824776		
665117	21/09/2015	ZSCR	551	035-1	0	'054	A2C53399621B	NA	A2C00054422	27	1351	"0R12,5%,TK50,1W,MELF0207,LIN RES/MMB 020"	#N/A	ROH	NA	18.09	PS_HONDA HRS5_L.LPL AUT	NO	4993823688		
665117	21/09/2015	ZSCR	551	035-1	0	'054	A2C9449080093	NA	A2C00059117	1	1351	"5R6,1%,TK50,100mW,0603,LIN RES/"	#N/A	ROH	NA	0.05	PS_HONDA HRS5_L.LPL AUT	NO	4993824854		
665117	21/09/2015	ZSCR	551	035-1	0	'054	A2C53399617A	NA	A2C00059117	14	1351	"5R6,1%,TK50,100mW,0603,LIN RES/"	#N/A	ROH	NA	0.7	PS_HONDA HRS5_L.LPL AUT	NO	4993824776		
665120	21/09/2015	ZSCR	551	035-1	0	'054	A2C9858300092	NA	A2C00000445	1	1351	"1,NPN,NORMAL,500mA,45V,SOT23,BIP/BC817-2"	#N/A	ROH	NA	0.08	PS_VW10 LC_L.LPL AUTOMA	NO	4993826925		
665120	21/09/2015	ZSCR	551	035-1	0	'054	A2C9858300092	NA	A2C00004981	2	1351	"F BEAD/BLM18B,140Ohm,140Ohm,200mA,SMD"	#N/A	ROH	NA	0.08	PS_VW10 LC_L.LPL AUTOMA	NO	4993826925		
