No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	3011	050	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
561368	07/12/2014	ZSCR	551	034-2	NA	'015	A2C90502800	NA	A2C9113260093	1				1342	pcb assy PASE 433 Top	NA	HALB	S.Real	145.04	S1_CUSW UF RFHM_A.ADRIA	NO	
561388	07/12/2014	ZSCR	551	035-1	0	'050	A2C53428193T	NA	6596602048	4	3011	050	 	1351	TRANSISTOR NPN 0.5A MMBTA06 SO		ROH	NA	0.52	S1_TIPM MEDIUM_M.MIGUEL	NO	
561388	07/12/2014	ZSCR	551	035-1	0	'050	A2C30889800T	NA	A2C40000385	67	3011	050	 	1351	"R LIN,1M,5%,TK200,100mW,0603"		ROH	NA	0.67	S1_TIPM MEDIUM_M.MIGUEL	NO	
561388	07/12/2014	ZSCR	551	035-1	0	'050	A2C31231400T	NA	A2C40001842	12	3011	050	 	1351	"R LIN,61K9,1%,TK100,125mW,0805"		ROH	NA	0.12	S1_TIPM MEDIUM_M.MIGUEL	NO	
561388	07/12/2014	ZSCR	551	035-1	0	'050	A2C53428193T	NA	A2C40002000	47	3011	050	 	1351	"R LIN,100R,5%,TK200,750mW,2010"		ROH	NA	3.29	S1_TIPM MEDIUM_M.MIGUEL	NO	
561388	07/12/2014	ZSCR	551	035-1	0	'050	A2C31231400T	NA	A2C40002163	95	3011	050	 	1351	"R LIN,27K,5%,TK200,100mW,0603"		ROH	NA	0.95	S1_TIPM MEDIUM_M.MIGUEL	NO	
561388	07/12/2014	ZSCR	551	035-1	0	'050	A2C31231400T	NA	A2C40002167	244	3011	050	 	1351	"R LIN,2R4,5%,TK200,100mW,0603"		ROH	NA	2.44	S1_TIPM MEDIUM_M.MIGUEL	NO	
561388	07/12/2014	ZSCR	551	035-1	0	'050	A2C30889800T	NA	A2C40002177	5	3011	050	 	1351	"R LIN,360K,5%,TK200,100mW,0603"		ROH	NA	0.05	S1_TIPM MEDIUM_M.MIGUEL	NO	
561388	07/12/2014	ZSCR	551	035-1	0	'050	A2C31231400T	NA	A2C40003098	3	3011	050	 	1351	"R LIN,10K,1%,TK100,100mW,0603"		ROH	NA	0.03	S1_TIPM MEDIUM_M.MIGUEL	NO	
561388	07/12/2014	ZSCR	551	035-1	0	'050	A2C31231400T	NA	A2C40005523	14	3011	050	 	1351	"R NET,10K,5%,63mW,1206"		ROH	NA	0.28	S1_TIPM MEDIUM_M.MIGUEL	NO	
561388	07/12/2014	ZSCR	551	035-1	0	'050	A2C53428193T	NA	A2C40006979	3	3011	050	 	1351	"C CER,X7R,22nF,10%,100V,0805,-"		ROH	NA	0.09	S1_TIPM MEDIUM_M.MIGUEL	NO	
561388	07/12/2014	ZSCR	551	035-1	0	'050	A2C30889800T	NA	A2C40007117	18	3011	050	 	1351	"C CER,X7R,560pF,10%,50V,-TBD-,-"		ROH	NA	0.36	S1_TIPM MEDIUM_M.MIGUEL	NO	
561388	07/12/2014	ZSCR	551	035-1	0	'050	A2C53428193T	NA	A2C40007117	694	3011	050	 	1351	"C CER,X7R,560pF,10%,50V,-TBD-,-"		ROH	NA	13.88	S1_TIPM MEDIUM_M.MIGUEL	NO	
561388	07/12/2014	ZSCR	551	035-1	0	'050	A2C31231400T	NA	A2C40007536	4	3011	050	 	1351	"D REC/BAV99,70V,100mA,SOT-23,15ns"		ROH	NA	0.32	S1_TIPM MEDIUM_M.MIGUEL	NO	
561388	07/12/2014	ZSCR	551	035-1	0	'050	A2C31231400T	NA	A2C40007730	149	3011	050	 	1351	"D SUP/MMBZ27VALT1,SOT23"		ROH	NA	19.37	S1_TIPM MEDIUM_M.MIGUEL	NO	
561388	07/12/2014	ZSCR	551	035-1	0	'050	A2C7365810093	NA	A2C40009952	18	3011	050	 	1351	"D ZEN/MMSZ39T1,39V,500mW,SOD 123"		ROH	NA	2.16	S1_TIPM MEDIUM_M.MIGUEL	NO	
561388	07/12/2014	ZSCR	551	035-1	0	'050	A2C31231400T	NA	A2C40012807	12	3011	050	 	1351	"T FET/NTD3055L104,MOS,POWER,CASE369A"		ROH	NA	12.36	S1_TIPM MEDIUM_M.MIGUEL	NO	
561393	07/12/2014	ZSCR	551	035-1	0	'050	A2C3229710093	NA	A2C00010737	14	3011	050	 	1351	"100pF,5%,50V,C0G,0402,TINNED,CER CAP/VJ"		ROH	NA	0.14	S1_RKE FOB CUSW_J.JORGE	NO	
561393	07/12/2014	ZSCR	551	035-1	0	'050	A2C3229710093	NA	A2C00021664	1	3011	050	 	1351	"15pF,1%,50V,C0G,0402,Sn,CER CAP/RF appli"		ROH	NA	0.02	S1_RKE FOB CUSW_J.JORGE	NO	
