No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	 	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
563470	11/12/2014	ZSCR	551	040-1	NA	'054	A2C86852400	NA	A2C87110200	1	1401	pcb assy PTFSPEED10 D_26	NA	HALB	S.Real	204.2	PS_HYUNDAI_.	NO	
563487	11/12/2014	ZSCR	551	040-4	NA	'054	A2C83971800	NA	A2C8397200093	1	1404	pcb topSMD Top	NA	HALB	S.Real	358.75	PS_SDM10+_.	NO	
563489	11/12/2014	ZSCR	551	040-3	NA	'054	A2C83972000	NA	A2C8397200093	1	1403	pcb topSMD Top	NA	HALB	S.Real	358.75	PS_SDM10+_.	NO	
563490	11/12/2014	ZSCR	551	040-1	NA	'054	A2C83971800	NA	A2C8397200093	1	1401	pcb topSMD Top	NA	HALB	S.Real	358.75	PS_SDM10+_.	NO	
563495	11/12/2014	ZSCR	551	040-1	NA	'054	5WY88040	NA	A2C53412214	1	1401	pcb assy	NA	HALB	S.Real/AutoBF	149.71	PSAD_GM BRASIL_A.ANA TA	NO	4985095306
563496	11/12/2014	ZSCR	551	040-1	NA	'054	A2C89730900	NA	A2C8021660002	2	1401	pcb assy HONHRS6 V04	NA	HALB	S.Real/AutoBF	614.26	PS_HONDA HRS6_J.JUAN CH	NO	4985095358
563506	11/12/2014	ZSCR	551	042-4	NA	'054	5WK44252	NA	A2C53364457	1	1424	pcb assy	NA	HALB	S.Real/AutoBF	96.25	OC_BOSE VW_A.ANA TAPIA-	NO	4985096132
563509	11/12/2014	ZSCR	551	040-3	NA	'054	5WK44252	NA	A2C53364457	1	1403	pcb assy	NA	HALB	S.Real/AutoBF	96.25	OC_BOSE VW_A.ANA TAPIA-	NO	4985095611
563512	11/12/2014	ZSCR	551	040-1	NA	'054	A2C83972000	NA	A2C8397200093	1	1401	pcb topSMD Top	NA	HALB	S.Real	358.75	PS_SDM10+_.	NO	
563515	11/12/2014	ZSCR	551	034-2	NA	'054	A2C89730900	NA	A2C8021660002	2	1342	pcb assy HONHRS6 V04	NA	HALB	S.Real/AutoBF	614.26	PS_HONDA HRS6_J.JUAN CH	NO	4985094411
563520	11/12/2014	ZSCR	551	042-4	NA	'054	A2C86852400	NA	A2C87110200	1	1424	pcb assy PTFSPEED10 D_26	NA	HALB	S.Real	204.2	PS_HYUNDAI_.	NO	
563521	11/12/2014	ZSCR	551	040-2	NA	'054	A2C53412214	NA	A2C53412214	1	1402	pcb assy	NA	HALB	S.Real/AutoBF	149.71	PSAD_GM BRASIL_A.ANA TA	NO	4985095532
563528	11/12/2014	ZSCR	551	040-5	NA	'054	A2C92704001	NA	A2C91600800	1	1405	multipoint connector124/ 76P H 2SYS 1018	NA	ROH	NA	57.79	PSAD_DAIMLER STAR 2_A.A	NO	
563536	11/12/2014	ZSCR	551	034-2	NA	'054	A2C89730900	NA	A2C8021660002	1	1342	pcb assy HONHRS6 V04	NA	HALB	S.Real/AutoBF	307.13	PS_HONDA HRS6_J.JUAN CH	NO	4985094411
563537	11/12/2014	ZSCR	551	034-2	NA	'054	A2C89730900	NA	A2C8021660002	1	1342	pcb assy HONHRS6 V04	NA	HALB	S.Real/AutoBF	307.13	PS_HONDA HRS6_J.JUAN CH	NO	4985094411
563543	11/12/2014	ZSCR	551	034-2	NA	'054	5WK44252	NA	A2C53364457	1	1342	pcb assy	NA	HALB	S.Real/AutoBF	96.25	OC_BOSE VW_A.ANA TAPIA-	NO	4985094339
563559	11/12/2014	ZSCR	551	042-4	NA	'054	A2C82735100	NA	A2C40000022	4	1424	"C ELEC,AL,4.7mF,20%,35V"	NA	ROH	NA	26.92	PS_SDM10+_.	NO	
563559	11/12/2014	ZSCR	551	042-4	NA	'054	A2C91763800	NA	A2C53338471	8	1424	contact element	NA	ROH	NA	8.16	PS_SDM10+_.	NO	
563559	11/12/2014	ZSCR	551	042-4	NA	'054	A2C82735700	NA	A2C53395713	2	1424	housing WIC P BK A-D	NA	ROH	NA	72.94	PS_SDM10+_.	NO	
